author,bin
Abraham Lincoln,2
Agatha Christie,4
Albert Einstein,2
Aldous Huxley,2
Alexander Pope,2
Alfred Russel Wallace,2
Ambrose Bierce,4
Andrew Lang,2
Anthony Trollope,2
Arnold Joseph Toynbee,2
Baronness Orczy,2
Beatrix Potter,4
Benjamin Disraeli,2
Benjamin Franklin,2
Bertrand Russell,2
Bram Stoker,2
Bret Harte,2
Charles Darwin,2
Charles Dickens,2
Charles Kingsley,2
Charlotte Bronte,2
Charlotte Mary Yonge,2
D H Lawrence,2
Daniel Defoe,2
Edgar Allan Poe,4
Edgar Rice Burroughs,4
Edmund Burke,2
Edward Phillips Oppenheim,4
Edward Stratemeyer,4
Elizabeth Barrett Browning,2
Emily Bronte,4
Eugene O,1
Ezra Pound,2
Frank Richard Stockton,2
G K Chesterton,2
George Alfred Henty,2
George Bernard Shaw,2
George Eliot,2
Grant Allen,2
Hamlin Garland,2
Harold Bindloss,4
Harriet Elizabeth Beecher Stowe,2
Hector Hugh Munro,2
Henry David Thoreau,2
Henry Francis Cary,2
Henry James,2
Henry Rider Haggard,2
Herbert George Wells,2
Herbert Spencer,2
Herman Melville,2
Howard Pyle,2
Jack London,4
Jacob Abbott,4
James Fenimore Cooper,2
James Joyce,4
James Matthew Barrie,2
James Otis,4
James Russell Lowell,2
Jane Austen,2
Jerome Klapka Jerome,1
John Bunyan,4
John Dryden,2
John Galsworthy,4
John Keats,2
John Locke,2
John Maynard Keynes,2
John Milton,4
John Morley,2
John Ruskin,2
John Stuart Mill,2
Jonathan Swift,2
Joseph Conrad,2
Leigh Hunt,2
Lewis Carroll,3
Lord Byron,2
Lord Tennyson,2
Louisa May Alcott,2
Lucy Maud Montgomery,4
Lyman Frank Baum,4
Mark Twain,4
Mary Shelley,2
Mary Stewart Daggett,4
Michael Faraday,2
Nathaniel Hawthorne,2
O Henry,2
Oscar Wilde,3
P B Shelley,2
P G Wodehouse,4
Percival Lowell,2
Philip Kindred Dick,3
R M Ballantyne,2
Rafael Sabatini,4
Ralph Waldo Emerson,2
Richard Brinsley Sheridan,3
Robert Browning,1
Robert Burns,2
Robert Frost,2
Robert Hooke,2
Robert Louis Stevenson,2
Robert Southey,2
Rudyard Kipling,2
Samuel Taylor Coleridge,2
Sinclair Lewis,2
Sir Arthur Conan Doyle,2
Sir Francis Galton,2
Sir Humphry Davy,2
Sir Isaac Newton,2
Sir Richard Francis Burton,2
Sir Walter Scott,2
Stephen Leacock,2
T S Eliot,2
Thomas Carlyle,2
Thomas Hardy,2
Thomas Henry Huxley,2
Thomas Robert Malthus,2
Thornton Waldo Burgess,1
Ulysses Grant,2
Virginia Woolf,4
Walt Whitman,2
Walter de la Mare,4
Washington Irving,2
Wilkie Collins,2
William Blake,4
William Butler Yeats,2
William Dean Howells,4
William Ewart Gladstone,2
William Henry Hudson,2
William J Long,2
William Makepeace Thackeray,4
William Penn,2
William Somerset Maugham,1
William Wordsworth,2
William Wymark Jacobs,1
Winston Churchill,4
Zane Grey,3
